,ISBN,條碼號
912,957451255X,1
913,9574512592,1
914,9574512657,1
915,9574512673,1
916,957451272X,2
917,9574512789,1
918,9574512797,1
919,9574512886,1
920,9574512975,1
921,9574514757,1
922,9574522849,1
923,957452289X,1
924,9574523004,1
925,9574523098,1
926,9574523101,1
927,957452311X,1
928,9574523128,1
929,9574523136,1
930,9574523160,1
931,9574523772,1
932,957452468X,1
933,9574525457,1
934,9574525554,1
935,9574525910,1
936,9574526038,1
937,9574526062,1
938,9574526143,1
939,957452681X,1
940,9574527263,1
941,9574530396,1
942,9574530418,1
943,9574530434,1
944,9574530442,1
945,9574530469,1
946,9574530809,1
947,9574530825,1
948,9574530833,1
949,9574530841,1
950,957453085X,1
951,9574530868,1
952,9574530922,1
953,9574531090,2
954,9574531309,1
955,9574531333,1
956,9574531481,1
957,957453149x,1
958,9574531597,2
959,9574531619,2
960,9574531627,1
961,9574531783,1
962,9574531791,1
963,9574531805,1
964,9574531813,2
965,9574531821,2
966,957453183X,2
967,9574531848,1
968,9574531856,2
969,9574531872,1
970,9574531902,1
971,9574531910,1
972,9574531937,1
973,9574531945,1
974,9574531953,1
975,9574531961,1
976,957453197X,1
977,9574532186,2
978,9574532194,2
979,9574532208,2
980,9574532216,2
981,9574532437,10
982,9574532542,1
983,9574532577,1
984,9574532585,2
985,9574532593,2
986,9574532607,1
987,9574532801,1
988,9574533093,1
989,9574550044,2
990,9574550508,1
991,9574550702,2
992,9574550893,2
993,9574551040,2
994,9574551113,1
995,9574551121,1
996,957455113X,1
997,9574551679,1
998,9574551857,1
999,9574551938,2
1000,9574551997,2
1001,9574552683,2
1002,9574554171,2
1003,9574554295,2
1004,9574555240,2
1005,9574555305,2
1006,9574555887,2
1007,957455614X,2
1008,9574556603,2
1009,9574556662,2
1010,9574557332,2
1011,9574558673,1
1012,9574558959,2
1013,957455919X,2
1014,9574559378,2
1015,9574559440,1
1016,9574570096,2
1017,9574570258,2
1018,9574570282,2
1019,9574570290,2
1020,9574570517,2
1021,9574570533,2
1022,957457055X,2
1023,9574570800,2
1024,9574570819,2
1025,9574570827,2
1026,9574570835,2
1027,9574570924,2
1028,957457105X,2
1029,9574571203,2
1030,9574596265,1
1031,9574597571,1
1032,9574640442,1
1033,9574640450,1
1034,9574640485,1
1035,9574640515,1
1036,9574640663,1
1037,9574672670,1
1038,9574676315,1
1039,9574676463,1
1040,9574679500,2
1041,9574679624,1
1042,9574693104,1
1043,9574694372,1
1044,957469447X,2
1045,9574694682,1
1046,9574702847,1
1047,9574737578,2
1048,9574737586,2
1049,9574737594,2
1050,9574737926,2
1051,9574737934,2
1052,9574738302,1
1053,9574738906,2
1054,9574739325,2
1055,9574739724,2
1056,9574739996,2
1057,9574740781,1
1058,9574760715,1
